venue,innings,batting_team,bowling_team,striker,bowler,total_runs
"Rajiv Gandhi International Stadium, Uppal",2,Rajasthan Royals,Deccan Chargers,"['R Dravid', 'J Botha', 'AG Paunikar']","['I Sharma', 'DW Steyn', 'DT Christian', 'PP Ojha']",31
Nehru Stadium,1,Kochi Tuskers Kerala,Royal Challengers Bangalore,"['VVS Laxman', 'BB McCullum']","['TM Dilshan', 'A Mithun', 'DP Nannes', 'DL Vettori', 'Z Khan']",60
Nehru Stadium,2,Royal Challengers Bangalore,Kochi Tuskers Kerala,"['TM Dilshan', 'V Kohli', 'MA Agarwal', 'AB de Villiers']","['RA Jadeja', 'S Sreesanth', 'R Vinay Kumar', 'RP Singh']",45
Feroz Shah Kotla,1,Delhi Daredevils,Mumbai Indians,"['UBT Chand', 'AJ Finch', 'V Sehwag', 'DA Warner', 'NV Ojha']","['SL Malinga', 'AG Murtaza', 'MM Patel', 'Harbhajan Singh']",34
Feroz Shah Kotla,2,Mumbai Indians,Delhi Daredevils,"['SR Tendulkar', 'DJ Jacobs', 'AT Rayudu']","['AB Dinda', 'M Morkel', 'UT Yadav', 'IK Pathan']",28
Dr DY Patil Sports Academy,1,Kings XI Punjab,Pune Warriors,"['KD Karthik', 'AC Gilchrist', 'AM Nayar', 'SE Marsh', 'PC Valthaty', 'Sunny Singh']","['SB Wagh', 'M Kartik', 'WD Parnell', 'AC Thomas']",36
Dr DY Patil Sports Academy,2,Pune Warriors,Kings XI Punjab,"['GC Smith', 'M Manhas', 'JD Ryder']","['R McLaren', 'P Kumar', 'PP Chawla', 'NJ Rimmington']",43
Eden Gardens,1,Kolkata Knight Riders,Deccan Chargers,"['MS Bisla', 'JH Kallis']","['I Sharma', 'DW Steyn', 'DT Christian']",46
Eden Gardens,2,Deccan Chargers,Kolkata Knight Riders,"['IR Jaggi', 'KC Sangakkara', 'B Chipli', 'S Dhawan']","['JD Unadkat', 'L Balaji', 'Iqbal Abdulla', 'YK Pathan']",29
Sawai Mansingh Stadium,1,Delhi Daredevils,Rajasthan Royals,"['AJ Finch', 'UBT Chand', 'DA Warner', 'V Sehwag']","['SK Trivedi', 'A Singh', 'SW Tait', 'J Botha']",30
Sawai Mansingh Stadium,2,Rajasthan Royals,Delhi Daredevils,"['R Dravid', 'J Botha', 'AG Paunikar']","['AB Dinda', 'M Morkel', 'RE van der Merwe', 'IK Pathan']",57
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,"['TM Dilshan', 'V Kohli', 'MA Agarwal', 'AB de Villiers']","['SL Malinga', 'AG Murtaza', 'KA Pollard', 'MM Patel']",23
M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,"['SR Tendulkar', 'DJ Jacobs', 'AT Rayudu']","['A Mithun', 'Z Khan', 'DP Nannes', 'DL Vettori']",40
"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,Kings XI Punjab,"['S Anirudha', 'S Badrinath', 'M Vijay', 'SK Raina']","['RJ Harris', 'R McLaren', 'P Kumar']",31
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Chennai Super Kings,"['AC Gilchrist', 'PC Valthaty']","['JA Morkel', 'TG Southee', 'R Ashwin']",61
Dr DY Patil Sports Academy,1,Kochi Tuskers Kerala,Pune Warriors,"['RA Jadeja', 'DPMD Jayawardene', 'PA Patel', 'VVS Laxman', 'BB McCullum', 'BJ Hodge']","['SB Wagh', 'WD Parnell', 'AC Thomas']",37
Dr DY Patil Sports Academy,2,Pune Warriors,Kochi Tuskers Kerala,"['M Manhas', 'GC Smith', 'JD Ryder']","['M Muralitharan', 'S Sreesanth', 'R Vinay Kumar', 'RP Singh']",42
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Royal Challengers Bangalore,"['S Dhawan', 'KC Sangakkara', 'S Sohal']","['DL Vettori', 'Z Khan', 'JJ van der Wath', 'S Aravind']",41
"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Deccan Chargers,"['TM Dilshan', 'AB de Villiers', 'MA Agarwal', 'V Kohli', 'Z Khan']","['I Sharma', 'DW Steyn', 'MS Gony']",28
Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,"['R Dravid', 'AL Menaria', 'AG Paunikar']","['L Balaji', 'Shakib Al Hasan', 'B Lee', 'JH Kallis']",30
Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,"['MS Bisla', 'JH Kallis', 'G Gambhir']","['A Singh', 'SR Watson', 'ND Doshi', 'AL Menaria']",58
Wankhede Stadium,1,Mumbai Indians,Kochi Tuskers Kerala,"['SR Tendulkar', 'DJ Jacobs']","['NLTC Perera', 'R Vinay Kumar', 'RP Singh']",40
Wankhede Stadium,2,Kochi Tuskers Kerala,Mumbai Indians,"['DPMD Jayawardene', 'BB McCullum']","['SL Malinga', 'AG Murtaza', 'KA Pollard', 'MM Patel']",45
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Royal Challengers Bangalore,"['MEK Hussey', 'M Vijay']","['TM Dilshan', 'Z Khan', 'JJ van der Wath', 'DL Vettori']",45
"MA Chidambaram Stadium, Chepauk",2,Royal Challengers Bangalore,Chennai Super Kings,"['TM Dilshan', 'AUK Pathan', 'AB de Villiers', 'MA Agarwal', 'V Kohli']","['JA Morkel', 'TG Southee', 'R Ashwin']",33
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Kings XI Punjab,"['S Dhawan', 'KC Sangakkara', 'S Sohal']","['RJ Harris', 'R McLaren', 'P Kumar']",48
"Rajiv Gandhi International Stadium, Uppal",2,Kings XI Punjab,Deccan Chargers,"['AC Gilchrist', 'PC Valthaty']","['I Sharma', 'DW Steyn', 'MS Gony']",55
Dr DY Patil Sports Academy,1,Pune Warriors,Delhi Daredevils,"['M Manhas', 'GC Smith', 'JD Ryder']","['AB Dinda', 'UT Yadav', 'IK Pathan', 'Y Venugopal Rao']",60
Dr DY Patil Sports Academy,2,Delhi Daredevils,Pune Warriors,"['DA Warner', 'V Sehwag']","['SB Wagh', 'WD Parnell', 'AC Thomas']",65
Eden Gardens,1,Rajasthan Royals,Kolkata Knight Riders,"['SR Watson', 'FY Fazal', 'AS Raut', 'AG Paunikar']","['L Balaji', 'Shakib Al Hasan', 'B Lee', 'Iqbal Abdulla']",32
Eden Gardens,2,Kolkata Knight Riders,Rajasthan Royals,"['MS Bisla', 'JH Kallis', 'G Gambhir']","['SK Warne', 'SW Tait', 'SR Watson']",26
Nehru Stadium,1,Chennai Super Kings,Kochi Tuskers Kerala,"['MEK Hussey', 'SK Raina', 'M Vijay']","['NLTC Perera', 'R Vinay Kumar', 'RP Singh']",42
Nehru Stadium,2,Kochi Tuskers Kerala,Chennai Super Kings,"['DPMD Jayawardene', 'BB McCullum', 'PA Patel']","['JA Morkel', 'TG Southee', 'R Ashwin', 'DE Bollinger']",49
Feroz Shah Kotla,1,Deccan Chargers,Delhi Daredevils,"['S Dhawan', 'KC Sangakkara', 'S Sohal']","['AB Dinda', 'M Morkel', 'IK Pathan']",43
Feroz Shah Kotla,2,Delhi Daredevils,Deccan Chargers,"['NV Ojha', 'AJ Finch', 'V Sehwag', 'DA Warner', 'Y Venugopal Rao']","['DT Christian', 'DW Steyn', 'Harmeet Singh']",38
Wankhede Stadium,1,Pune Warriors,Mumbai Indians,"['RV Uthappa', 'TD Paine', 'M Manhas', 'JD Ryder', 'MD Mishra', 'Yuvraj Singh']","['SL Malinga', 'AG Murtaza', 'MM Patel', 'AN Ahmed']",32
Wankhede Stadium,2,Mumbai Indians,Pune Warriors,"['JEC Franklin', 'SR Tendulkar', 'AT Rayudu']","['SB Wagh', 'M Kartik', 'WD Parnell', 'AC Thomas']",32
Eden Gardens,1,Kochi Tuskers Kerala,Kolkata Knight Riders,"['DPMD Jayawardene', 'BB McCullum']","['L Balaji', 'Iqbal Abdulla', 'B Lee', 'Shakib Al Hasan']",45
Eden Gardens,2,Kolkata Knight Riders,Kochi Tuskers Kerala,"['MK Tiwary', 'MS Bisla', 'JH Kallis', 'G Gambhir']","['RA Jadeja', 'R Vinay Kumar', 'RP Singh']",37
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Rajasthan Royals,"['AC Gilchrist', 'SE Marsh', 'PC Valthaty']","['SK Warne', 'SK Trivedi', 'SR Watson', 'SW Tait']",69
"Punjab Cricket Association Stadium, Mohali",2,Rajasthan Royals,Kings XI Punjab,"['STR Binny', 'R Dravid', 'SA Asnodkar', 'SR Watson']","['RJ Harris', 'BA Bhatt', 'P Kumar']",45
Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,"['R Sathish', 'SR Tendulkar', 'RG Sharma', 'AT Rayudu']","['Joginder Sharma', 'JA Morkel', 'DE Bollinger']",34
Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,"['S Badrinath', 'MEK Hussey', 'SK Raina', 'M Vijay']","['SL Malinga', 'Harbhajan Singh', 'AN Ahmed', 'MM Patel']",44
Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,"['JH Kallis', 'G Gambhir', 'BJ Haddin']","['TM Dilshan', 'Z Khan', 'J Syed Mohammad', 'S Aravind']",40
Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,"['TM Dilshan', 'CH Gayle']","['JD Unadkat', 'L Balaji', 'YK Pathan', 'Shakib Al Hasan']",53
Feroz Shah Kotla,1,Delhi Daredevils,Kings XI Punjab,"['DA Warner', 'V Sehwag']","['RJ Harris', 'SJ Srivastava', 'P Kumar']",65
Feroz Shah Kotla,2,Kings XI Punjab,Delhi Daredevils,"['AC Gilchrist', 'SE Marsh', 'PC Valthaty']","['M Morkel', 'IK Pathan']",46
"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Deccan Chargers,"['SR Tendulkar', 'DJ Jacobs']","['DT Christian', 'A Mishra', 'PP Ojha', 'I Sharma', 'DW Steyn']",56
"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Mumbai Indians,"['S Dhawan', 'KC Sangakkara', 'S Sohal', 'CL White']","['SL Malinga', 'Harbhajan Singh', 'AN Ahmed', 'MM Patel']",41
Sawai Mansingh Stadium,1,Kochi Tuskers Kerala,Rajasthan Royals,"['VVS Laxman', 'DPMD Jayawardene', 'BJ Hodge', 'PA Patel']","['A Singh', 'J Botha', 'SR Watson']",31
Sawai Mansingh Stadium,2,Rajasthan Royals,Kochi Tuskers Kerala,"['R Dravid', 'SR Watson']","['M Muralitharan', 'R Vinay Kumar', 'RP Singh']",38
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Pune Warriors,"['M Vijay', 'MEK Hussey']","['NL McCullum', 'JE Taylor', 'AC Thomas', 'M Kartik']",41
"MA Chidambaram Stadium, Chepauk",2,Pune Warriors,Chennai Super Kings,"['RV Uthappa', 'M Manhas', 'MD Mishra', 'MK Pandey', 'JD Ryder']","['JA Morkel', 'R Ashwin', 'DE Bollinger']",40
Feroz Shah Kotla,1,Delhi Daredevils,Royal Challengers Bangalore,"['DA Warner', 'JR Hopes', 'V Sehwag']","['Z Khan', 'S Aravind']",41
Feroz Shah Kotla,2,Royal Challengers Bangalore,Delhi Daredevils,"['TM Dilshan', 'V Kohli', 'CH Gayle']","['AB Dinda', 'M Morkel', 'IK Pathan']",65
Dr DY Patil Sports Academy,1,Pune Warriors,Chennai Super Kings,"['M Manhas', 'JD Ryder', 'MD Mishra', 'MK Pandey', 'Yuvraj Singh']","['DE Bollinger', 'TG Southee', 'KMDN Kulasekara']",37
Dr DY Patil Sports Academy,2,Chennai Super Kings,Pune Warriors,"['S Badrinath', 'MEK Hussey', 'M Vijay']","['M Kartik', 'JE Taylor', 'MR Marsh', 'AC Thomas']",21
Nehru Stadium,1,Deccan Chargers,Kochi Tuskers Kerala,"['S Dhawan', 'KC Sangakkara', 'B Chipli', 'S Sohal']","['S Sreesanth', 'R Vinay Kumar', 'RP Singh']",19
Nehru Stadium,2,Kochi Tuskers Kerala,Deccan Chargers,"['DPMD Jayawardene', 'PA Patel', 'NLTC Perera', 'RA Jadeja', 'RV Gomez', 'KM Jadhav', 'BB McCullum', 'BJ Hodge']","['I Sharma', 'DW Steyn']",27
Feroz Shah Kotla,1,Kolkata Knight Riders,Delhi Daredevils,"['JH Kallis', 'G Gambhir', 'SP Goswami']","['UT Yadav', 'M Morkel', 'IK Pathan']",38
Feroz Shah Kotla,2,Delhi Daredevils,Kolkata Knight Riders,"['DA Warner', 'JR Hopes', 'V Sehwag']","['JD Unadkat', 'L Balaji', 'Iqbal Abdulla', 'B Lee']",40
Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,"['SR Tendulkar', 'DJ Jacobs', 'RG Sharma', 'AT Rayudu']","['A Singh', 'SR Watson', 'AL Menaria']",31
Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,"['R Dravid', 'SR Watson', 'J Botha']","['SL Malinga', 'AG Murtaza', 'MM Patel']",18
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Pune Warriors,"['TM Dilshan', 'CH Gayle']","['JE Taylor', 'Kamran Khan', 'AC Thomas']",57
M Chinnaswamy Stadium,2,Pune Warriors,Royal Challengers Bangalore,"['MK Pandey', 'TD Paine', 'JD Ryder']","['A Mithun', 'Z Khan', 'S Aravind']",36
Nehru Stadium,1,Delhi Daredevils,Kochi Tuskers Kerala,"['Y Venugopal Rao', 'DA Warner', 'NV Ojha', 'V Sehwag']","['S Sreesanth', 'RP Singh']",32
Nehru Stadium,2,Kochi Tuskers Kerala,Delhi Daredevils,"['DPMD Jayawardene', 'PA Patel', 'M Klinger', 'BB McCullum', 'BJ Hodge']","['UT Yadav', 'M Morkel', 'IK Pathan']",37
Eden Gardens,1,Kings XI Punjab,Kolkata Knight Riders,"['AC Gilchrist', 'SE Marsh', 'PC Valthaty']","['L Balaji', 'Iqbal Abdulla', 'B Lee', 'YK Pathan']",40
Eden Gardens,2,Kolkata Knight Riders,Kings XI Punjab,"['MK Tiwary', 'JH Kallis', 'G Gambhir', 'EJG Morgan']","['RJ Harris', 'BA Bhatt', 'DJ Hussey', 'P Kumar']",45
Sawai Mansingh Stadium,1,Pune Warriors,Rajasthan Royals,"['MK Pandey', 'RV Uthappa', 'JD Ryder']","['A Singh', 'AL Menaria', 'SK Warne', 'J Botha', 'SR Watson']",49
Sawai Mansingh Stadium,2,Rajasthan Royals,Pune Warriors,"['R Dravid', 'SR Watson', 'J Botha']","['M Kartik', 'JE Taylor', 'R Sharma', 'AC Thomas']",33
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Deccan Chargers,"['M Vijay', 'SK Raina', 'MEK Hussey']","['JP Duminy', 'PP Ojha', 'DT Christian', 'I Sharma']",33
"MA Chidambaram Stadium, Chepauk",2,Deccan Chargers,Chennai Super Kings,"['S Dhawan', 'S Sohal']","['JA Morkel', 'S Randiv', 'R Ashwin', 'DE Bollinger']",63
Wankhede Stadium,1,Mumbai Indians,Kings XI Punjab,"['SR Tendulkar', 'DJ Jacobs', 'AT Rayudu']","['BA Bhatt', 'P Kumar', 'Bipul Sharma']",35
Wankhede Stadium,2,Kings XI Punjab,Mumbai Indians,"['AC Gilchrist', 'SE Marsh', 'PC Valthaty']","['SL Malinga', 'AN Ahmed', 'MM Patel', 'Harbhajan Singh']",24
Feroz Shah Kotla,1,Delhi Daredevils,Kochi Tuskers Kerala,"['DA Warner', 'NV Ojha', 'V Sehwag']","['P Parameswaran', 'S Sreesanth', 'RP Singh']",42
Feroz Shah Kotla,2,Kochi Tuskers Kerala,Delhi Daredevils,"['PA Patel', 'BB McCullum', 'M Klinger']","['UT Yadav', 'M Morkel', 'IK Pathan']",50
"Rajiv Gandhi International Stadium, Uppal",1,Kolkata Knight Riders,Deccan Chargers,"['JH Kallis', 'G Gambhir', 'EJG Morgan']","['DT Christian', 'DW Steyn', 'I Sharma']",39
"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Kolkata Knight Riders,"['S Dhawan', 'KC Sangakkara', 'S Sohal', 'CL White']","['L Balaji', 'Iqbal Abdulla', 'B Lee']",41
"MA Chidambaram Stadium, Chepauk",1,Rajasthan Royals,Chennai Super Kings,"['R Dravid', 'SR Watson']","['JA Morkel', 'R Ashwin', 'DE Bollinger']",47
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Rajasthan Royals,"['MEK Hussey', 'SK Raina', 'M Vijay']","['SK Trivedi', 'J Botha', 'SR Watson', 'ND Doshi']",41
Dr DY Patil Sports Academy,1,Mumbai Indians,Pune Warriors,"['SR Tendulkar', 'AC Blizzard', 'AT Rayudu']","['SB Wagh', 'JE Taylor', 'AC Thomas']",45
Dr DY Patil Sports Academy,2,Pune Warriors,Mumbai Indians,"['MK Pandey', 'GC Smith', 'JD Ryder', 'AA Jhunjhunwala']","['SL Malinga', 'DS Kulkarni', 'MM Patel', 'Harbhajan Singh']",30
Nehru Stadium,1,Kochi Tuskers Kerala,Kolkata Knight Riders,"['DPMD Jayawardene', 'PA Patel', 'BB McCullum', 'M Klinger']","['JD Unadkat', 'Iqbal Abdulla', 'B Lee']",35
Nehru Stadium,2,Kolkata Knight Riders,Kochi Tuskers Kerala,"['JH Kallis', 'EJG Morgan']","['P Parameswaran', 'S Sreesanth', 'R Vinay Kumar', 'RP Singh']",43
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Delhi Daredevils,"['KC Sangakkara', 'S Dhawan', 'DB Ravi Teja']","['M Morkel', 'AM Salvi', 'IK Pathan']",43
"Rajiv Gandhi International Stadium, Uppal",2,Delhi Daredevils,Deccan Chargers,"['AJ Finch', 'Y Venugopal Rao', 'NV Ojha', 'V Sehwag']","['I Sharma', 'DW Steyn', 'DT Christian']",23
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,"['TM Dilshan', 'V Kohli', 'CH Gayle']","['RJ Harris', 'R McLaren', 'P Kumar']",48
M Chinnaswamy Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,"['KD Karthik', 'AC Gilchrist', 'AM Nayar', 'SE Marsh', 'PC Valthaty', 'Sunny Singh']","['Z Khan', 'CH Gayle', 'S Aravind']",33
Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,"['S Badrinath', 'MEK Hussey', 'SK Raina', 'M Vijay']","['Iqbal Abdulla', 'B Lee', 'YK Pathan']",15
Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,"['JH Kallis', 'G Gambhir', 'EJG Morgan']","['JA Morkel', 'DE Bollinger', 'R Ashwin']",32
Wankhede Stadium,1,Mumbai Indians,Delhi Daredevils,"['SR Tendulkar', 'AC Blizzard', 'AT Rayudu']","['M Morkel', 'IK Pathan', 'AB Agarkar']",48
Wankhede Stadium,2,Delhi Daredevils,Mumbai Indians,"['JR Hopes', 'NV Ojha', 'V Sehwag', 'DA Warner', 'CA Ingram', 'Y Venugopal Rao']","['SL Malinga', 'DS Kulkarni', 'MM Patel', 'Harbhajan Singh']",23
M Chinnaswamy Stadium,1,Kochi Tuskers Kerala,Royal Challengers Bangalore,"['PA Patel', 'BB McCullum', 'M Klinger']","['DL Vettori', 'Z Khan', 'CH Gayle', 'S Aravind']",49
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kochi Tuskers Kerala,"['TM Dilshan', 'V Kohli', 'CH Gayle']","['P Parameswaran', 'R Vinay Kumar', 'RP Singh', 'RR Powar']",68
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Pune Warriors,"['AC Gilchrist', 'SE Marsh', 'PC Valthaty']","['WD Parnell', 'B Kumar', 'R Sharma', 'SB Wagh']",34
"Punjab Cricket Association Stadium, Mohali",2,Pune Warriors,Kings XI Punjab,"['MK Pandey', 'RV Uthappa', 'JD Ryder']","['RJ Harris', 'BA Bhatt', 'SJ Srivastava', 'P Kumar']",36
Sawai Mansingh Stadium,1,Chennai Super Kings,Rajasthan Royals,"['MEK Hussey', 'M Vijay']","['A Singh', 'J Botha', 'SR Watson', 'AL Menaria']",50
Sawai Mansingh Stadium,2,Rajasthan Royals,Chennai Super Kings,"['R Dravid', 'SR Watson', 'AM Rahane']","['JA Morkel', 'DJ Bravo', 'R Ashwin', 'DE Bollinger']",47
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Pune Warriors,"['S Dhawan', 'DB Ravi Teja']","['WD Parnell', 'B Kumar', 'R Sharma', 'SB Wagh']",49
"Rajiv Gandhi International Stadium, Uppal",2,Pune Warriors,Deccan Chargers,"['MK Pandey', 'JD Ryder']","['DT Christian', 'A Mishra', 'PP Ojha', 'JP Duminy', 'I Sharma', 'DW Steyn']",48
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Mumbai Indians,"['AC Gilchrist', 'SE Marsh', 'PC Valthaty']","['SL Malinga', 'MM Patel', 'Harbhajan Singh']",39
"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,Kings XI Punjab,"['SR Tendulkar', 'AC Blizzard', 'A Symonds', 'RG Sharma', 'AT Rayudu']","['RJ Harris', 'BA Bhatt', 'P Kumar', 'Bipul Sharma']",33
Sawai Mansingh Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,"['R Dravid', 'SR Watson']","['Z Khan', 'CK Langeveldt', 'S Aravind']",43
Sawai Mansingh Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,"['TM Dilshan', 'CH Gayle']","['SK Trivedi', 'J Botha', 'SR Watson', 'Pankaj Singh']",62
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Delhi Daredevils,"['MEK Hussey', 'SK Raina', 'M Vijay']","['AB Agarkar', 'AB McDonald', 'IK Pathan', 'VR Aaron']",42
"MA Chidambaram Stadium, Chepauk",2,Delhi Daredevils,Chennai Super Kings,"['DA Warner', 'CA Ingram', 'NV Ojha']","['JA Morkel', 'R Ashwin', 'DE Bollinger']",52
Holkar Cricket Stadium,1,Kochi Tuskers Kerala,Kings XI Punjab,"['DPMD Jayawardene', 'BB McCullum']","['RJ Harris', 'BA Bhatt', 'SJ Srivastava', 'Bipul Sharma']",56
Holkar Cricket Stadium,2,Kings XI Punjab,Kochi Tuskers Kerala,"['AC Gilchrist', 'SE Marsh', 'PC Valthaty', 'KD Karthik']","['S Sreesanth', 'RP Singh']",43
M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,"['JH Kallis', 'MK Tiwary', 'G Gambhir', 'YK Pathan', 'EJG Morgan']","['S Aravind', 'Z Khan', 'CK Langeveldt']",33
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,"['V Kohli', 'CH Gayle', 'AB de Villiers', 'LA Pomersbach']","['JD Unadkat', 'JH Kallis', 'B Lee']",62
Wankhede Stadium,1,Deccan Chargers,Mumbai Indians,"['MJ Lumb', 'KC Sangakkara', 'S Sohal']","['SL Malinga', 'Harbhajan Singh', 'DS Kulkarni', 'MM Patel']",32
Wankhede Stadium,2,Mumbai Indians,Deccan Chargers,"['SR Tendulkar', 'AC Blizzard', 'A Symonds', 'RG Sharma', 'AT Rayudu']","['JP Duminy', 'PP Ojha', 'I Sharma']",26
Himachal Pradesh Cricket Association Stadium,1,Kings XI Punjab,Delhi Daredevils,"['AC Gilchrist', 'SE Marsh', 'PC Valthaty']","['M Morkel', 'AM Salvi', 'IK Pathan', 'VR Aaron']",35
Himachal Pradesh Cricket Association Stadium,2,Delhi Daredevils,Kings XI Punjab,"['DA Warner', 'NV Ojha']","['RJ Harris', 'SJ Srivastava', 'P Kumar']",42
Holkar Cricket Stadium,1,Rajasthan Royals,Kochi Tuskers Kerala,"['FY Fazal', 'AL Menaria', 'R Dravid', 'SR Watson', 'AM Rahane']","['S Sreesanth', 'RP Singh']",32
Holkar Cricket Stadium,2,Kochi Tuskers Kerala,Rajasthan Royals,"['BJ Hodge', 'DPMD Jayawardene', 'BB McCullum', 'PA Patel']","['JDP Oram', 'SW Tait', 'AA Chavan', 'ND Doshi']",81
Dr DY Patil Sports Academy,1,Pune Warriors,Deccan Chargers,"['MK Pandey', 'RV Uthappa', 'JD Ryder', 'SC Ganguly']","['JP Duminy', 'DW Steyn', 'DT Christian', 'I Sharma']",39
Dr DY Patil Sports Academy,2,Deccan Chargers,Pune Warriors,"['S Dhawan', 'S Sohal']","['WD Parnell', 'B Kumar', 'MR Marsh', 'R Sharma']",47
Himachal Pradesh Cricket Association Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,"['AC Gilchrist', 'SE Marsh', 'PC Valthaty']","['S Aravind', 'CH Gayle', 'JJ van der Wath', 'CK Langeveldt']",30
Himachal Pradesh Cricket Association Stadium,2,Royal Challengers Bangalore,Kings XI Punjab,"['SS Tiwary', 'V Kohli', 'CH Gayle', 'AB de Villiers']","['RJ Harris', 'SJ Srivastava', 'P Kumar']",33
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kochi Tuskers Kerala,"['MEK Hussey', 'SK Raina', 'M Vijay']","['M Muralitharan', 'S Sreesanth', 'RP Singh']",41
"MA Chidambaram Stadium, Chepauk",2,Kochi Tuskers Kerala,Chennai Super Kings,"['PA Patel', 'BB McCullum', 'Y Gnaneswara Rao']","['DE Bollinger', 'SB Jakati', 'R Ashwin']",38
Dr DY Patil Sports Academy,1,Pune Warriors,Kolkata Knight Riders,"['CJ Ferguson', 'MK Pandey', 'JD Ryder', 'SC Ganguly']","['JH Kallis', 'YK Pathan', 'B Lee', 'Iqbal Abdulla']",28
Dr DY Patil Sports Academy,2,Kolkata Knight Riders,Pune Warriors,"['MK Tiwary', 'G Gambhir', 'SP Goswami']","['WD Parnell', 'B Kumar', 'R Sharma', 'AC Thomas']",38
Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,"['SR Tendulkar', 'TL Suman', 'RG Sharma', 'AT Rayudu']","['SR Watson', 'AA Chavan']",26
Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,"['R Dravid', 'SR Watson']","['SL Malinga', 'Harbhajan Singh', 'DS Kulkarni', 'MM Patel']",52
Himachal Pradesh Cricket Association Stadium,1,Deccan Chargers,Kings XI Punjab,"['S Dhawan', 'DB Ravi Teja']","['RJ Harris', 'BA Bhatt', 'P Kumar']",55
Himachal Pradesh Cricket Association Stadium,2,Kings XI Punjab,Deccan Chargers,"['AC Gilchrist', 'SE Marsh', 'PC Valthaty', 'KD Karthik']","['JP Duminy', 'Anand Rajan', 'DW Steyn', 'PP Ojha']",45
Feroz Shah Kotla,1,Delhi Daredevils,Pune Warriors,"['DA Warner', 'NV Ojha', 'MS Wade']","['JP Faulkner', 'AC Thomas', 'SS Mundhe']",32
M Chinnaswamy Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,"['M Vijay', 'WP Saha', 'S Badrinath', 'MEK Hussey', 'SK Raina']","['DL Vettori', 'Z Khan', 'S Aravind']",21
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,"['V Kohli', 'CH Gayle', 'AB de Villiers']","['DE Bollinger', 'R Ashwin']",44
Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,"['MK Tiwary', 'JH Kallis', 'G Gambhir', 'SP Goswami']","['SL Malinga', 'Harbhajan Singh', 'AN Ahmed', 'RW Price']",42
Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,"['SR Tendulkar', 'TL Suman', 'Harbhajan Singh']","['L Balaji', 'Iqbal Abdulla', 'B Lee', 'Shakib Al Hasan']",52
Wankhede Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,"['V Kohli', 'CH Gayle', 'MA Agarwal']","['JA Morkel', 'R Ashwin', 'DE Bollinger']",39
